fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,retainedEarnings,commonStock,commonStockSharesOutstanding
2024-09-30, USD ,364980000000.0,152987000000.0,29943000000.0,65171000000.0,7286000000.0,66243000000.0,211993000000.0,45680000000.0,73448000000.0,0.0,0.0,0.0,254763000000.0,91479000000.0,35228000000.0,14287000000.0,74834000000.0,308030000000.0,176392000000.0,68960000000.0,21049000000.0,21023000000.0,9967000000.0,131638000000.0,752000000.0,96662000000.0,10912000000.0,85750000000.0,106629000000.0,78304000000.0,45888000000.0,56950000000.0,-19154000000.0,83276000000.0,15116786000.0
2023-09-30, USD ,352583000000.0,143566000000.0,29965000000.0,61555000000.0,6331000000.0,60985000000.0,209017000000.0,43715000000.0,70884000000.0,0.0,0.0,0.0,264965000000.0,100544000000.0,31590000000.0,14695000000.0,64758000000.0,290437000000.0,145308000000.0,62611000000.0,20161000000.0,15972000000.0,5985000000.0,145129000000.0,859000000.0,105103000000.0,9822000000.0,95281000000.0,111088000000.0,58829000000.0,49848000000.0,62146000000.0,-214000000.0,73812000000.0,15550061000.0
2022-09-30, USD ,352755000000.0,135405000000.0,23646000000.0,48304000000.0,4946000000.0,60932000000.0,217350000000.0,42117000000.0,72340000000.0,0.0,0.0,0.0,292870000000.0,120805000000.0,24658000000.0,21223000000.0,54428000000.0,302083000000.0,153982000000.0,64115000000.0,20312000000.0,21239000000.0,9982000000.0,148101000000.0,812000000.0,110087000000.0,11128000000.0,98959000000.0,233256000000.0,60845000000.0,49142000000.0,50672000000.0,-3068000000.0,64849000000.0,15943425000.0
2021-09-30, USD ,351002000000.0,134836000000.0,34940000000.0,62639000000.0,6580000000.0,51506000000.0,216166000000.0,39440000000.0,70283000000.0,0.0,0.0,0.0,318994000000.0,127877000000.0,27699000000.0,14111000000.0,48849000000.0,287912000000.0,125481000000.0,54763000000.0,19512000000.0,15692000000.0,6000000000.0,162431000000.0,769000000.0,118700000000.0,9613000000.0,109106000000.0,241783000000.0,47493000000.0,53325000000.0,63090000000.0,5562000000.0,57365000000.0,16426786000.0
2020-09-30, USD ,323888000000.0,143713000000.0,38016000000.0,90943000000.0,4061000000.0,37445000000.0,180175000000.0,36766000000.0,66760000000.0,0.0,0.0,0.0,345644000000.0,100887000000.0,52927000000.0,11264000000.0,42522000000.0,258549000000.0,105392000000.0,42296000000.0,16843000000.0,13793000000.0,4996000000.0,153157000000.0,637000000.0,125873000000.0,8773000000.0,98667000000.0,216860000000.0,42684000000.0,54490000000.0,65339000000.0,14966000000.0,50779000000.0,16976763000.0
2019-09-30, USD ,338516000000.0,162819000000.0,48844000000.0,100557000000.0,4106000000.0,45804000000.0,175697000000.0,37378000000.0,58579000000.0,0.0,0.0,0.0,362952000000.0,105341000000.0,51713000000.0,12352000000.0,32978000000.0,248028000000.0,105718000000.0,46236000000.0,13622000000.0,16240000000.0,5980000000.0,142310000000.0,0.0,117760000000.0,10260000000.0,91807000000.0,209135000000.0,37720000000.0,50503000000.0,90488000000.0,45898000000.0,45174000000.0,4443236000.0
2018-09-30, USD ,365725000000.0,131339000000.0,25913000000.0,25913000000.0,3956000000.0,48995000000.0,234386000000.0,41304000000.0,49099000000.0,0.0,0.0,0.0,448287000000.0,170799000000.0,40388000000.0,12087000000.0,22283000000.0,258578000000.0,115929000000.0,55888000000.0,14766000000.0,20748000000.0,11964000000.0,142649000000.0,0.0,111984000000.0,8784000000.0,93735000000.0,220132000000.0,33327000000.0,48914000000.0,107147000000.0,70400000000.0,40201000000.0,4754986000.0
2017-09-30, USD ,375319000000.0,128645000000.0,20289000000.0,74181000000.0,4855000000.0,35673000000.0,246674000000.0,33783000000.0,41293000000.0,8015000000.0,2298000000.0,5717000000.0,268895000000.0,194714000000.0,53892000000.0,13936000000.0,18177000000.0,241272000000.0,100814000000.0,44242000000.0,10384000000.0,18473000000.0,11977000000.0,140458000000.0,0.0,112596000000.0,6496000000.0,97207000000.0,219794000000.0,30551000000.0,40415000000.0,134047000000.0,98330000000.0,35867000000.0,5126201000.0
2016-09-30, USD ,321686000000.0,106869000000.0,20484000000.0,67155000000.0,2132000000.0,29299000000.0,385247000000.0,27010000000.0,34235000000.0,8620000000.0,3206000000.0,5414000000.0,237585000000.0,170430000000.0,46671000000.0,8283000000.0,8757000000.0,193437000000.0,79006000000.0,37294000000.0,11010000000.0,11600000000.0,8100000000.0,150505000000.0,0.0,85200000000.0,3500000000.0,75427000000.0,164694000000.0,22027000000.0,36074000000.0,128249000000.0,96364000000.0,31251000000.0,5336166000.0
2015-09-30, USD ,290345000000.0,89378000000.0,21120000000.0,41601000000.0,2349000000.0,30343000000.0,365166000000.0,22471000000.0,26786000000.0,9009000000.0,3893000000.0,5116000000.0,205666000000.0,164065000000.0,20481000000.0,15085000000.0,5422000000.0,170990000000.0,80610000000.0,35490000000.0,12564000000.0,10999000000.0,8499000000.0,123941000000.0,0.0,57400000000.0,2500000000.0,53329000000.0,119787000000.0,25181000000.0,33427000000.0,119355000000.0,92284000000.0,27416000000.0,5578753000.0
2014-09-30, USD ,231839000000.0,68531000000.0,13844000000.0,25077000000.0,2111000000.0,27219000000.0,293470000000.0,20624000000.0,18391000000.0,8758000000.0,4142000000.0,4616000000.0,155239000000.0,130162000000.0,11233000000.0,9806000000.0,3764000000.0,120292000000.0,63448000000.0,30196000000.0,11522000000.0,6308000000.0,6308000000.0,52683000000.0,0.0,28987000000.0,0.0,28987000000.0,35295000000.0,18453000000.0,24826000000.0,111547000000.0,87152000000.0,23313000000.0,5866161000.0
2013-09-30, USD ,207000000000.0,73286000000.0,14259000000.0,40546000000.0,1764000000.0,13102000000.0,239929000000.0,16597000000.0,11922000000.0,5756000000.0,4179000000.0,1577000000.0,146761000000.0,106215000000.0,26287000000.0,6882000000.0,5146000000.0,83451000000.0,43658000000.0,22367000000.0,10060000000.0,0.0,0.0,39322000000.0,0.0,16960000000.0,0.0,15900000000.0,16960000000.0,13856000000.0,20208000000.0,123549000000.0,104256000000.0,19764000000.0,899213000.0
2012-09-30, USD ,176064000000.0,57653000000.0,10746000000.0,29129000000.0,791000000.0,10930000000.0,213533000000.0,15452000000.0,6435000000.0,5359000000.0,4224000000.0,1135000000.0,110505000000.0,92122000000.0,18383000000.0,6458000000.0,5478000000.0,57854000000.0,38542000000.0,21175000000.0,8601000000.0,0.0,6310000000.0,35976000000.0,0.0,0.0,0.0,0.0,0.0,11414000000.0,16664000000.0,118210000000.0,101289000000.0,16422000000.0,939208000.0
2011-09-30, USD ,116371000000.0,44988000000.0,9815000000.0,25952000000.0,776000000.0,5369000000.0,123607000000.0,7777000000.0,3991000000.0,4432000000.0,3536000000.0,896000000.0,71755000000.0,55618000000.0,16137000000.0,4529000000.0,3556000000.0,39756000000.0,27970000000.0,14632000000.0,5777000000.0,0.0,5606000000.0,21886000000.0,0.0,0.0,0.0,0.0,0.0,9247000000.0,10100000000.0,76615000000.0,62841000000.0,13331000000.0,929277000.0
2010-09-30, USD ,75183000000.0,41678000000.0,11261000000.0,25620000000.0,1051000000.0,5510000000.0,57101000000.0,2174000000.0,2466000000.0,1083000000.0,342000000.0,741000000.0,39750000000.0,25391000000.0,14359000000.0,3447000000.0,2263000000.0,27392000000.0,20722000000.0,12015000000.0,4123000000.0,0.0,2466000000.0,10970000000.0,0.0,0.0,0.0,0.0,0.0,5723000000.0,5531000000.0,47791000000.0,37169000000.0,10668000000.0,915970050.0
2009-09-30, USD ,47501000000.0,31555000000.0,5263000000.0,23464000000.0,455000000.0,3361000000.0,23520000000.0,1780000000.0,1713000000.0,453000000.0,247000000.0,206000000.0,0.0,10528000000.0,18201000000.0,1444000000.0,2011000000.0,15861000000.0,11506000000.0,5601000000.0,0.0,0.0,1948000000.0,4355000000.0,0.0,0.0,0.0,0.0,0.0,3376000000.0,3502000000.0,31640000000.0,23353000000.0,8210000000.0,899805500.0
2008-09-30, USD ,36171000000.0,30006000000.0,11875000000.0,11875000000.0,509000000.0,0.0,4882000000.0,2455000000.0,1292000000.0,492000000.0,285000000.0,207000000.0,0.0,0.0,12615000000.0,3920000000.0,839000000.0,13874000000.0,11361000000.0,5520000000.0,0.0,0.0,2507000000.0,4450000000.0,0.0,0.0,0.0,0.0,0.0,3719000000.0,1745000000.0,22297000000.0,15129000000.0,7177000000.0,888325973.0
